The intermediate results:
Round 1: 64456,1,3,3
Round 2: 128901,5,18,5
Round 3: 193342,5,42,2
Round 4: 257776,5,71,1
Round 5: 322226,3,84,2

The clustering results: 
0,6
1,8
2,2
3,9
4,5
5,5
6,4
7,0
8,5
9,5
10,6
11,5
12,6
13,0
14,9
15,2
16,6
17,5
18,7
19,9
20,1
21,1
22,9
23,5
24,6
25,4
26,1
27,0
28,8
29,7
30,2
31,7
32,0
33,0
34,8
35,9
36,7
37,8
38,5
39,2
40,2
41,2
42,4
43,1
44,2
45,5
46,9
47,5
48,4
49,4
50,0
51,7
52,9
53,6
54,0
55,3
56,7
57,5
58,0
59,5
60,0
61,9
62,7
63,9
64,2
65,3
66,9
67,8
68,8
69,5
70,1
71,3
72,8
73,0
74,3
75,5
76,5
77,5
78,0
79,0
80,1
81,0
82,8
83,2
84,9
85,0
86,7
87,9
88,1
89,3
90,5
91,6
92,1
93,4
94,1
95,1
96,7
97,1
98,2
99,2
100,5
101,7
102,9
103,0
104,0
105,9
106,9
107,5
108,8
109,0
110,8
111,2
112,8
113,4
114,0
115,0
116,7
117,8
118,9
119,6
120,3
121,5
122,8
123,7
124,4
125,8
126,7
127,8
128,5
129,9
130,2
131,0
132,5
133,9
134,5
135,4
136,0
137,0
138,0
139,4
140,2
141,9
142,2
143,4
144,8
145,7
146,8
147,6
148,0
149,9
150,1
151,5
152,0
153,0
154,0
155,0
156,2
157,8
158,2
159,0
160,1
161,3
162,3
163,3
164,0
165,8
166,7
167,1
168,5
169,5
170,7
171,4
172,2
173,5
174,7
175,4
176,8
177,7
178,6
179,1
180,6
181,4
182,1
183,4
184,2
185,3
186,0
187,8
188,4
189,9
190,2
191,6
192,0
193,8
194,2
195,2
196,1
197,4
198,5
199,6
200,7
201,7
202,7
203,7
204,3
205,5
206,6
207,4
208,5
209,9
210,3
211,4
212,1
213,6
214,6
215,8
216,6
217,5
218,0
219,2
220,7
221,7
222,6
223,6
224,7
225,7
226,8
227,1
228,4
229,7
230,6
231,8
232,6
233,0
234,5
235,5
236,0
237,9
238,9
239,8
240,0
241,1
242,6
243,9
244,5
245,8
246,9
247,9
248,5
249,5
250,1
251,5
252,8
253,0
254,2
255,8
256,7
257,5
258,8
259,2
260,0
261,3
262,9
263,0
264,4
265,3
266,7
267,9
268,5
269,5
270,4
271,5
272,1
273,3
274,4
275,1
276,5
277,0
278,2
279,8
280,2
281,2
282,4
283,9
284,8
285,1
286,0
287,5
288,7
289,5
290,4
291,1
292,9
293,3
294,7
295,4
296,9
297,7
298,9
299,8
300,9
301,3
302,2
303,2
304,3
305,8
306,2
307,1
308,4
309,4
310,9
311,0
312,1
313,5
314,5
315,8
316,2
317,9
318,7
319,1
320,2
321,6
322,3
323,7
324,7
325,4
326,8
327,3
328,0
329,1
330,1
331,9
332,2
333,0
334,4
335,2
336,9
337,8
338,7
339,4
340,7
341,3
342,7
343,3
344,3
345,8
346,5
347,9
348,9
349,4
350,9
351,0
352,9
353,4
354,7
355,3
356,8
357,9
358,3
359,3
360,5
361,4
362,2
363,5
364,4
365,5
366,4
367,8
368,0
369,5
370,3
371,9
372,7
373,0
374,5
375,8
376,1
377,3
378,6
379,5
380,1
381,9
382,4
383,8
384,2
385,8
386,3
387,7
388,0
389,5
390,0
391,5
392,2
393,4
394,7
395,0
396,7
397,2
398,4
399,4
400,0
401,5
402,2
403,4
404,9
405,3
406,5
407,1
408,8
409,0
410,7
411,2
412,5
413,5
414,1
415,7
416,0
417,3
418,7
419,3
420,0
421,8
422,5
423,6
424,8
425,5
426,5
427,6
428,6
429,4
430,2
431,6
432,9
433,2
434,9
435,2
436,6
437,2
438,9
439,3
440,8
441,7
442,5
443,7
444,6
445,4
446,3
447,8
448,6
449,9
450,7
451,1
452,1
453,0
454,2
455,8
456,9
457,9
458,8
459,1
460,8
461,4
462,2
463,6
464,0
465,2
466,6
467,4
468,3
469,4
470,1
471,9
472,6
473,5
474,9
475,4
476,5
477,2
478,2
479,0
480,0
481,0
482,8
483,9
484,9
485,2
486,0
487,1
488,9
489,8
490,1
491,2
492,0
493,1
494,5
495,4
496,9
497,8
498,2
499,6
500,7
501,0
502,4
503,0
504,7
505,6
506,3
507,8
508,8
509,5
510,7
511,9
512,2
513,0
514,9
515,5
516,8
517,3
518,8
519,3
520,7
521,0
522,4
